"No","Event ID","Date time","Latitude","Longitude","Magnitude","Mag Type","Depth (km)","Phase Count","Azimuth Gap","Location","Agency"
"146","bmg2023yhxo","2023-12-12T20:42:40.663262Z","-0.1878746897","99.04316711","2.459051919","MLv","51","23","54.47064209","Southern Sumatra, Indonesia","BMKG"
"147","bmg2023yhxl","2023-12-12T20:39:00.45074Z","-0.3266943097","130.1257629","3.36005483","M","10","42","109.4393539","West Papua Region, Indonesia","BMKG"
"148","bmg2023yhvh","2023-12-12T19:34:05.646418Z","-9.555766106","118.4288483","3.627338527","MLv","10","62","175.0118866","Sumbawa Region, Indonesia","BMKG"
"149","bmg2023yhtm","2023-12-12T18:39:26.820199Z","-8.284169197","119.986908","2.783910931","M","165","37","87.27529907","Flores Region, Indonesia","BMKG"
"150","bmg2023yhrw","2023-12-12T17:50:32.739146Z","-9.957518578","124.3173218","3.170834523","MLv","10","21","84.68282318","Timor Region","BMKG"
"151","bmg2023yhrx","2023-12-12T17:50:00.458791Z","7.461997986","126.8053131","4.443928821","mb","10","29","256.2239685","Mindanao, Philippines","BMKG"
"152","bmg2023yhrm","2023-12-12T17:37:56.98086Z","-6.875980854","106.1431885","2.616505377","MLv","111","26","136.9219666","Java, Indonesia","BMKG"
"153","bmg2023yhrn","2023-12-12T17:37:42.793394Z","4.550448418","125.680191","3.454063223","MLv","94","17","166.4674606","Talaud Islands, Indonesia","BMKG"
"154","bmg2023yhrl","2023-12-12T17:37:15.98806Z","-0.7119987011","119.5895462","3.834100859","MLv","16","69","53.8170929","Minahassa Peninsula, Sulawesi","BMKG"
"155","bmg2023yhqq","2023-12-12T17:12:30.392796Z","-7.943208694","110.5018921","2.734213633","MLv","10","37","85.28710938","Java, Indonesia","BMKG"
"156","bmg2023yhoz","2023-12-12T16:22:21.212518Z","-9.991366386","124.278862","3.96479443","M","10","34","85.11906433","Timor Region","BMKG"
"157","bmg2023yhow","2023-12-12T16:18:58.517306Z","8.082709312","126.8901749","4.6949478","mb","13","38","243.9823303","Mindanao, Philippines","BMKG"
"158","bmg2023yhom","2023-12-12T16:07:14.339751Z","9.948866844","126.6886902","4.542109444","mb","50","55","217.8306122","Mindanao, Philippines","BMKG"
"159","bmg2023yhog","2023-12-12T16:01:02.738785Z","-7.15937376","108.8662491","2.80255527","MLv","10","35","95.25036621","Java, Indonesia","BMKG"
"160","bmg2023yhny","2023-12-12T15:51:08.506001Z","2.752389193","98.33601379","2.485250432","MLv","10","25","97.38448334","Northern Sumatra, Indonesia","BMKG"
"161","bmg2023yhkf","2023-12-12T13:58:27.801109Z","8.563001633","126.8371048","5.155091325","Mw(mB)","64","222","96.10600662","Mindanao, Philippines","BMKG"
"162","bmg2023yhjm","2023-12-12T13:36:04.708366Z","-3.542207956","119.4909134","2.481141481","MLv","10","26","104.150177","Sulawesi, Indonesia","BMKG"
"163","bmg2023yhjh","2023-12-12T13:30:53.864086Z","-11.20358372","117.6237869","4.795643743","mb","10","85","207.9496918","South of Sumbawa, Indonesia","BMKG"
"164","bmg2023yhhp","2023-12-12T12:39:20.198377Z","-4.148835659","129.3317871","3.704087537","MLv","132","33","75.34031677","Banda Sea","BMKG"
"165","bmg2023yhdq","2023-12-12T10:38:35.114172Z","-2.42176652","120.7034225","2.820250647","M","10","21","59.93338013","Sulawesi, Indonesia","BMKG"
"166","bmg2023ygzp","2023-12-12T08:36:50.163868Z","-1.437113047","100.2189407","3.617602619","MLv","29","53","41.82714844","Southern Sumatra, Indonesia","BMKG"
"167","bmg2023ygyz","2023-12-12T08:17:54.216386Z","-7.896399021","114.3337936","3.294207326","M","10","33","68.5882988","Bali Sea","BMKG"
